YEAR,CLUSTER,X,Y
2020,23,21.5812,17.808008
2020,8,1.2281057,2.8392107
2020,61,33.266163,-40.74164
2020,61,27.29197,-33.38714
2020,63,59.096718,-61.12489
2020,55,43.980732,-58.207375
2020,20,7.584686,-53.341007
2020,12,89.93463,-17.439394
2020,10,-67.030075,-9.717388
2022,0,34.04613,71.938614
2022,57,53.096844,-10.96638
2022,8,14.763316,3.2018733
2022,20,9.428201,-45.229313
2022,12,70.80144,-23.657299
2022,71,23.725681,-68.90958
2022,9,-53.612255,-20.422623
2022,36,-57.378162,-26.092564
2022,2,-15.4889,-75.75945
2022,72,-28.410574,7.2214828
2022,8,-5.898855,4.9484067
2022,67,-19.14933,2.3972015
2022,8,-10.869813,7.4290953
2022,73,-62.967552,52.26628
2022,0,51.620213,50.68048
2022,74,61.624073,-41.65513
2022,62,-19.648876,-18.052038
2022,10,-67.69649,-7.004845
2022,38,-6.594413,-85.8487
2022,2,-19.837763,-72.82451
2022,41,-45.517582,70.96839
2022,4,-21.93034,57.189713
2022,1,1.7910767,103.445465
2013,50,4.541154,84.108665
2013,0,74.26736,61.974155
2013,12,74.05544,-17.893389
2013,19,38.63821,-45.46303
2013,63,57.30432,-60.2705
2013,20,8.723821,-48.322754
2013,61,23.70814,-28.587284
2013,15,-1.9473293,-13.546965
2013,17,-54.41581,-36.327843
2013,36,-79.7199,-11.744237
2013,10,-81.46733,26.265095
2013,37,-54.958794,34.468674
2013,62,-19.919334,-18.298117
2013,13,-0.04761107,-93.047615
2024,0,57.816387,75.42423
2024,39,52.568535,5.950929
2024,8,22.84752,2.2929597
2024,8,4.530793,-0.86712855
2024,43,56.152653,24.565294
2024,20,4.631429,-55.82102
2024,12,81.87576,-26.040455
2024,24,20.870762,-82.05939
2024,75,-63.090332,-9.79586
2024,1,-23.013454,74.94846
2016,42,-33.321163,35.420437
2016,42,-30.19003,34.92218
2016,76,-22.770287,30.614672
2016,76,-26.124294,29.65303
2016,11,-35.162064,22.95932
2016,0,37.91253,65.545906
2016,13,-2.9689019,-89.35114
2016,1,4.188416,99.58443
2024,14,66.04255,-2.6233325
2024,14,9.713588,-18.763853
2024,12,78.09177,-36.532917
2024,10,-58.04765,-15.695206
2024,17,-57.36941,-39.68071
2024,75,-71.040504,3.2789
2024,36,-92.09331,20.625067
2024,43,59.548832,31.82072
2024,0,78.507904,52.108063
2024,1,1.820164,78.84393
2024,1,-22.59219,85.67288
2024,2,-24.881374,-76.11251
2024,77,-4.459623,-76.89881
2024,58,0.110342786,-68.59751
2024,58,-0.37418976,-68.062225
2024,41,-40.426548,74.201515
2013,29,83.6332,24.85715
2013,78,-22.38856,-34.627037
2013,19,41.63803,-47.27003
2013,2,-30.886393,-77.0862
2003,79,-31.30093,12.538657
2003,67,-17.193409,4.9675455
2003,11,-37.01115,20.931715
2003,80,-64.89052,50.909172
2010,79,-29.057442,12.423563
2010,20,-7.675853,-40.563854
2010,80,-69.99802,50.923313
2010,80,-74.787994,48.069847
2010,73,-65.459694,56.40485
2010,67,-17.29969,4.8999405
2010,8,-0.09511075,-1.2011819
2010,8,-13.244859,-0.51396096
2010,0,59.926006,52.391182
2010,45,37.766315,-74.5722
2010,12,100.71977,-26.306526
2010,18,-80.54347,-11.002683
2010,34,-57.248474,-45.7547
2010,59,-73.00981,-40.767464
2010,47,-47.229527,-42.473465
2010,10,-93.54392,26.321413
2010,1,8.480074,94.19803
2010,2,-22.017174,-88.50392
2010,2,-27.61803,-85.80885
2024,7,49.586586,11.19715
2024,34,-57.213486,-49.331768
2024,47,-40.599102,-53.96408
2024,59,-80.22366,-50.012596
2024,10,-84.718956,20.380623
2024,35,-92.25865,-0.7862635
2024,18,-84.442245,-21.320982
2024,60,-52.346085,36.195206
2006,79,-31.314028,12.461426
2006,15,-1.5825624,-9.730088
2006,30,-36.411217,-83.19249
2006,74,62.695183,-42.681522
2006,26,-48.855404,-5.69261
2019,71,27.16942,-66.09177
2019,22,29.177862,25.507862
2019,15,-3.0014997,-9.786336
2019,12,90.46672,-16.16469
2019,41,-43.379242,72.93108
2019,21,-52.327045,12.316643
2019,59,-80.10178,-50.245865
2019,34,-57.3259,-49.97371
2019,47,-39.948257,-54.134792
2019,35,-92.34242,-0.6327745
2019,18,-85.87971,-21.096363
2019,10,-81.393974,17.572922
2019,2,-17.921059,-76.7427
2019,1,-4.4519877,99.94038
2011,32,41.936115,85.54208
2011,31,-8.629106,-4.668292
2011,42,-8.741577,-4.5378504
2011,42,41.323376,61.276123
2011,31,-24.425491,17.371807
2023,23,19.062607,14.560356
2022,1,-11.421587,86.00012
2022,0,37.638508,71.17401
2022,22,23.904602,25.66944
